No,County,Confirmed,Date
1.,Alba,439,2020-06-29
2.,Arad,706,2020-06-29
3.,Argeș,770,2020-06-29
4.,Bacău,632,2020-06-29
5.,Bihor,671,2020-06-29
6.,Bistrița-Năsăud,519,2020-06-29
7.,Botoșani,1011,2020-06-29
8.,Brașov,1437,2020-06-29
9.,Brăila,201,2020-06-29
10.,Buzău,533,2020-06-29
11.,Caraș-Severin,113,2020-06-29
12.,Călărași,171,2020-06-29
13.,Cluj,676,2020-06-29
14.,Constanța,434,2020-06-29
15.,Covasna,279,2020-06-29
16.,Dâmbovița,513,2020-06-29
17.,Dolj,292,2020-06-29
18.,Galați,866,2020-06-29
19.,Giurgiu,268,2020-06-29
20.,Gorj,226,2020-06-29
21.,Harghita,314,2020-06-29
22.,Hunedoara,655,2020-06-29
23.,Ialomița,425,2020-06-29
24.,Iași,980,2020-06-29
25.,Ilfov,728,2020-06-29
26.,Maramureș,181,2020-06-29
27.,Mehedinți,185,2020-06-29
28.,Mureș,732,2020-06-29
29.,Neamț,960,2020-06-29
30.,Olt,223,2020-06-29
31.,Prahova,382,2020-06-29
32.,Satu Mare,76,2020-06-29
33.,Sălaj,118,2020-06-29
34.,Sibiu,650,2020-06-29
35.,Suceava,4002,2020-06-29
36.,Teleorman,158,2020-06-29
37.,Timiș,517,2020-06-29
38.,Tulcea,180,2020-06-29
39.,Vaslui,177,2020-06-29
40.,Vâlcea,52,2020-06-29
41.,Vrancea,1026,2020-06-29
42.,Mun. București,3071,2020-06-29
43.,Not identified,33,2020-06-29
